index;x;y;z
0;0.002563;-0.003937;-0.989548
1;0.005737;-0.004639;-0.997467
2;0.005600;-0.005402;-0.996613
3;0.004730;-0.005905;-0.997192
4;0.004990;-0.005219;-0.996643
5;0.004623;-0.005951;-0.996979
6;0.004913;-0.005661;-0.996750
7;0.005737;-0.005676;-0.995804
8;0.005356;-0.006042;-0.996857
9;0.005112;-0.005096;-0.995529
10;0.005341;-0.005508;-0.995926
11;0.004944;-0.006134;-0.996063
12;0.004807;-0.006409;-0.996887
13;0.005081;-0.005920;-0.996445
14;0.005142;-0.005753;-0.995987
15;0.005554;-0.005966;-0.996628
16;0.005188;-0.005203;-0.996704
17;0.005066;-0.004913;-0.996765
18;0.004059;-0.005402;-0.997086
19;0.004898;-0.005249;-0.997086
20;0.004898;-0.005768;-0.996643
21;0.004852;-0.005768;-0.996826
22;0.003952;-0.005356;-0.996246
23;0.005219;-0.005966;-0.995499
24;0.005661;-0.005493;-0.996719
25;0.004791;-0.005814;-0.995850
26;0.004852;-0.005142;-0.995102
27;0.004471;-0.005493;-0.995987
28;0.004639;-0.005371;-0.998566
29;0.004761;-0.006592;-0.997040
30;0.004349;-0.006195;-0.996857
31;0.005112;-0.005615;-0.995361
32;0.005173;-0.005661;-0.996445
33;0.005417;-0.005997;-0.997055
34;0.006393;-0.005753;-0.996994
35;0.005386;-0.005600;-0.996780
36;0.005096;-0.005417;-0.997192
37;0.004272;-0.006271;-0.996994
38;0.005249;-0.005356;-0.997208
39;0.005325;-0.005463;-0.997406
40;0.004562;-0.005554;-0.997360
41;0.004425;-0.005478;-0.996994
42;0.004517;-0.006561;-0.997757
43;0.005127;-0.005981;-0.996811
44;0.004547;-0.005356;-0.997116
45;0.003967;-0.005585;-0.997238
46;0.005371;-0.006317;-0.996597
47;0.004410;-0.005875;-0.995148
48;0.005280;-0.005081;-0.996582
49;0.005661;-0.005722;-0.995972
50;0.004745;-0.005737;-0.997162
51;0.004715;-0.005234;-0.996902
52;0.005188;-0.005844;-0.996445
53;-0.002380;-0.011719;-0.976120
