index;x;y;z
0;-0.991730;-0.011292;0.112274
1;-0.995071;-0.010971;0.066879
2;-0.994690;-0.010010;0.057861
3;-0.995178;-0.009521;0.050659
4;-0.994766;-0.010422;0.057617
5;-0.993958;-0.009888;0.068161
6;-0.994247;-0.009872;0.070023
7;-0.993027;-0.009750;0.067719
8;-0.993835;-0.010330;0.056625
9;-0.994492;-0.009567;0.050125
10;-0.993149;-0.010132;0.069412
11;-0.995514;-0.010040;0.048737
12;-0.994293;-0.009842;0.065918
13;-0.994247;-0.009415;0.071243
14;-0.994522;-0.009033;0.044556
15;-0.994827;-0.009842;0.048721
16;-0.994614;-0.009491;0.054779
17;-0.993622;-0.009827;0.055450
18;-0.995148;-0.009811;0.053406
19;-0.994034;-0.009079;0.060028
20;-0.994522;-0.009903;0.054657
21;-0.995331;-0.009186;0.041412
22;-0.995804;-0.010422;0.042236
23;-0.996078;-0.009171;0.037979
24;-0.995789;-0.010162;0.050171
25;-0.994766;-0.009262;0.050049
26;-0.995224;-0.009964;0.031616
27;-0.994904;-0.010345;0.049744
28;-0.994003;-0.010468;0.061813
29;-0.995392;-0.010193;0.045105
30;-0.994537;-0.010040;0.047089
31;-0.995132;-0.010437;0.053040
32;-0.994690;-0.010056;0.044205
33;-0.994995;-0.008743;0.052155
34;-0.994171;-0.010452;0.051941
35;-0.994934;-0.009308;0.038788
36;-0.994507;-0.009705;0.058243
37;-0.994659;-0.010376;0.064041
38;-0.994537;-0.009613;0.055237
39;-0.993820;-0.009766;0.053970
40;-0.994827;-0.009308;0.054092
41;-0.994873;-0.010269;0.055511
42;-0.995331;-0.010239;0.052048
43;-0.995071;-0.010101;0.062698
44;-0.995605;-0.009857;0.044815
45;-0.994385;-0.009628;0.059219
46;-0.994812;-0.010132;0.056091
47;-0.993622;-0.010422;0.058899
48;-0.994537;-0.009460;0.055939
49;-0.994476;-0.009918;0.055206
50;-0.994537;-0.009705;0.050186
51;-0.995407;-0.009796;0.043427
52;-0.994888;-0.010071;0.042007
53;-0.994644;-0.009827;0.041382
54;-0.995056;-0.010086;0.050797
55;-0.994415;-0.009750;0.056717
56;-0.994736;-0.009949;0.047775
57;-0.995010;-0.010254;0.049683
58;-0.994888;-0.009842;0.047043
59;-0.996429;-0.009705;0.038666
