index;x;y;z
0;0.007645;-0.010162;-0.999039
1;0.007706;-0.009689;-0.995346
2;0.009140;-0.009705;-0.997452
3;0.007889;-0.009109;-0.997162
4;0.005295;-0.010544;-0.999634
5;0.005814;-0.007263;-0.993668
6;0.007751;-0.008881;-0.995483
7;0.008652;-0.009216;-0.996216
8;0.008682;-0.011612;-0.995850
9;0.006638;-0.009079;-0.996292
10;0.006668;-0.009445;-0.993988
11;0.007004;-0.008209;-0.994110
12;0.006668;-0.009521;-0.996109
13;0.008255;-0.010681;-1.001785
14;0.006042;-0.008347;-0.997116
15;0.005692;-0.007980;-0.995987
16;0.008286;-0.009964;-0.997940
17;0.007431;-0.009018;-0.998001
18;0.004456;-0.009781;-0.997299
19;0.004883;-0.008377;-0.995834
20;0.007904;-0.009171;-0.996353
21;0.007492;-0.008698;-0.995392
22;0.005951;-0.009827;-0.996933
23;0.004745;-0.009796;-0.996140
24;0.006439;-0.008163;-0.995316
25;0.008911;-0.009293;-0.997314
26;0.006973;-0.008972;-0.996277
27;0.005432;-0.009003;-0.996796
28;0.005829;-0.009491;-0.997818
29;0.007187;-0.009277;-0.996643
30;0.008224;-0.008255;-0.996246
31;0.007141;-0.009872;-0.996048
32;0.005417;-0.008850;-0.996658
33;0.006317;-0.009476;-0.997009
34;0.008133;-0.008499;-0.996140
35;0.006180;-0.009827;-0.997406
36;0.005768;-0.008789;-0.996719
37;0.006622;-0.009552;-0.996384
38;0.007126;-0.009567;-0.996597
39;0.006897;-0.009872;-0.998291
40;0.004471;-0.008652;-0.992096
41;0.007324;-0.008224;-0.997284
42;0.009460;-0.009277;-0.995499
43;0.008286;-0.008881;-0.996918
44;0.005066;-0.007690;-0.996414
45;0.001297;-0.009354;-0.995987
46;0.004837;-0.008926;-0.995239
47;0.011276;-0.008728;-0.996597
48;0.011520;-0.008759;-0.996628
49;0.004807;-0.008621;-0.995941
50;0.003601;-0.009171;-0.995911
51;0.007370;-0.009903;-0.995041
52;0.007278;-0.008652;-0.997223
53;0.006378;-0.009445;-0.997375
54;0.005692;-0.008728;-0.993591
55;0.006424;-0.008804;-0.994308
56;0.008682;-0.008987;-0.996964
57;0.005554;-0.009186;-0.998657
58;0.002319;-0.009583;-0.996185
59;0.005051;-0.008606;-0.996140
60;0.008408;-0.007309;-0.994537
61;0.007553;-0.009338;-0.997284
62;0.004349;-0.009583;-0.997406
63;0.001526;-0.008148;-0.997131
64;0.003922;-0.008453;-0.997452
65;0.006821;-0.009186;-0.999771
66;0.005905;-0.007690;-0.996597
67;0.004608;-0.008087;-0.996094
68;0.001617;-0.007919;-0.995712
69;0.000854;-0.007843;-0.997391
70;0.001755;-0.007523;-0.995346
71;0.002228;-0.007782;-0.998001
72;-0.000351;-0.006805;-0.995102
73;-0.001678;-0.006897;-0.995956
74;-0.002670;-0.007553;-0.998169
75;-0.000778;-0.012451;-1.005890
76;0.000961;-0.006195;-1.018280
77;-0.016708;-0.010056;-1.000259
78;-0.021454;-0.006912;-1.041718
79;-0.060318;-0.004028;-1.022568
80;-0.112869;-0.002960;-0.999222
81;-0.167831;-0.003922;-0.987915
82;-0.207092;0.000748;-1.037460
83;-0.287048;-0.002899;-1.030090
84;-0.437485;-0.003052;-0.821243
85;-0.566025;-0.033478;-0.783203
86;-0.647339;-0.010498;-0.758087
87;-0.718262;-0.005692;-0.633423
88;-0.754608;-0.000900;-0.641525
89;-0.812668;-0.005600;-0.561844
90;-0.915863;0.010849;-0.404816
91;-0.908722;-0.021942;-0.311325
92;-0.919159;-0.017975;-0.237167
93;-0.905289;-0.014755;-0.490860
94;-0.895706;-0.005493;-0.530777
95;-0.913498;-0.008347;-0.457901
96;-0.936737;-0.018112;-0.264008
97;-0.949844;-0.015717;-0.259521
98;-0.952347;-0.024872;-0.223663
99;-0.971924;-0.024109;-0.268997
100;-0.986282;-0.020950;0.076218
101;-0.996033;-0.018311;-0.024246
102;-0.994003;-0.020401;0.001602
103;-0.994843;-0.018387;-0.088715
104;-0.994217;-0.020538;0.057358
105;-0.995667;-0.019836;0.006348
106;-0.994263;-0.019318;0.034821
107;-0.994766;-0.021301;0.032852
108;-0.995392;-0.019135;0.002487
109;-0.994080;-0.020508;0.072754
110;-0.994644;-0.020889;0.039459
111;-0.994156;-0.019852;0.047180
112;-0.992798;-0.021301;0.068375
113;-0.993851;-0.020462;0.055191
114;-0.993134;-0.020523;0.081650
115;-0.990707;-0.021164;0.098175
116;-0.988358;-0.020309;0.132874
117;-0.989120;-0.020325;0.135895
118;-0.990555;-0.021362;0.108154
119;-0.989960;-0.021225;0.107407
120;-0.990448;-0.019623;0.091003
121;-0.990768;-0.020935;0.104446
122;-0.991501;-0.019882;0.093384
123;-0.991058;-0.019653;0.089050
124;-0.990631;-0.020767;0.100342
125;-0.991302;-0.020096;0.096329
126;-0.991226;-0.020340;0.099945
127;-0.991318;-0.020630;0.097992
128;-0.992004;-0.020752;0.098541
129;-0.991653;-0.021103;0.098297
130;-0.991684;-0.019333;0.098633
131;-0.992676;-0.020721;0.098206
132;-0.991104;-0.020691;0.085587
133;-0.991425;-0.020523;0.101791
134;-0.991943;-0.020920;0.090759
135;-0.992172;-0.020172;0.091278
136;-0.990738;-0.020737;0.095367
137;-0.992142;-0.019745;0.092331
138;-0.990845;-0.020401;0.086349
139;-0.991089;-0.020569;0.098419
140;-0.991989;-0.020081;0.091614
141;-0.992050;-0.020859;0.093750
142;-0.991394;-0.019638;0.094925
143;-0.991547;-0.019531;0.098099
144;-0.991882;-0.020050;0.092743
145;-0.991653;-0.020401;0.089951
146;-0.991547;-0.020462;0.100372
147;-0.992126;-0.020279;0.092575
148;-0.991058;-0.021576;0.097244
149;-0.991272;-0.019958;0.082336
150;-0.991196;-0.019913;0.089966
151;-0.991455;-0.020309;0.096359
152;-0.991043;-0.020111;0.094559
153;-0.991943;-0.019806;0.092712
154;-0.992233;-0.020355;0.092911
155;-0.991211;-0.020752;0.100296
156;-0.992294;-0.021591;0.093933
157;-0.991959;-0.020523;0.086227
158;-0.992630;-0.020569;0.100815
159;-0.991287;-0.020325;0.082687
160;-0.992889;-0.019943;0.083038
161;-0.992233;-0.021469;0.089279
