index;x;y;z
0;0.066223;-0.995270;-0.104965
1;0.052841;-0.991852;-0.107391
2;0.059143;-0.992950;-0.073669
3;0.059891;-0.992111;-0.093567
4;0.058182;-0.992416;-0.085159
5;0.060013;-0.992569;-0.086853
6;0.056641;-0.994095;-0.087372
7;0.057068;-0.994217;-0.096527
8;0.060013;-0.994690;-0.079025
9;0.058395;-0.994675;-0.073303
10;0.059647;-0.996185;-0.069504
11;0.058716;-0.995316;-0.071289
12;0.056549;-0.996902;-0.067841
13;0.057007;-0.995651;-0.070496
14;0.057678;-0.996399;-0.073135
15;0.057388;-0.995209;-0.075043
16;0.058167;-0.993561;-0.075912
17;0.058990;-0.994751;-0.071167
18;0.059799;-0.995300;-0.065506
19;0.059250;-0.995392;-0.063736
20;0.058685;-0.995499;-0.069565
21;0.059006;-0.996323;-0.067673
22;0.058731;-0.995682;-0.060638
23;0.054932;-0.995392;-0.064285
24;0.057861;-0.995804;-0.063782
25;0.054504;-0.995758;-0.053665
26;0.055969;-0.996521;-0.054291
27;0.056061;-0.996658;-0.051117
28;0.056274;-0.997330;-0.047897
29;0.058121;-0.997406;-0.054932
30;0.058441;-0.997116;-0.051559
31;0.057358;-0.996124;-0.057404
32;0.056030;-0.995880;-0.052094
33;0.056046;-0.996765;-0.047165
34;0.058868;-0.996902;-0.049118
35;0.058762;-0.996262;-0.051544
36;0.058411;-0.996078;-0.053207
37;0.055832;-0.996201;-0.049301
38;0.057602;-0.996979;-0.044861
39;0.057236;-0.996292;-0.053818
40;0.057129;-0.997086;-0.051620
